aphiaID;TAXON;Kingdom;Subkingdom;Infrakingdom;Phylum;Subphylum;Infraphylum;Class;Subclass;Order;Family;Genus;Species;Superorder;Phylum (Division);Subfamily;Subphylum (Subdivision);Superclass;Forma;Suborder;Variety;rank
149054;Paralia;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Paraliales;Paraliaceae;Paralia;NA;Coscinodiscanae;NA;NA;NA;NA;NA;NA;NA;Genus
149055;Paralia sulcata;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Paraliales;Paraliaceae;Paralia;Paralia sulcata;Coscinodiscanae;NA;NA;NA;NA;NA;NA;NA;Species
149056;Plagiogrammopsis;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Cymatosirales;Cymatosiraceae;Plagiogrammopsis;NA;Cymatosirophycanae;NA;NA;NA;NA;NA;NA;NA;Genus
149057;Plagiogrammopsis vanheurckii;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Cymatosirales;Cymatosiraceae;Plagiogrammopsis;Plagiogrammopsis vanheurckii;Cymatosirophycanae;NA;NA;NA;NA;NA;NA;NA;Species
149058;Hyalodiscaceae;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Melosirales;Hyalodiscaceae;NA;NA;Coscinodiscanae;NA;NA;NA;NA;NA;NA;NA;Family
149059;Podosira;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Melosirales;Hyalodiscaceae;Podosira;NA;Coscinodiscanae;NA;NA;NA;NA;NA;NA;NA;Genus
149060;Podosira stelligera;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Melosirales;Hyalodiscaceae;Podosira;Podosira stelligera;Coscinodiscanae;NA;NA;NA;NA;NA;NA;NA;Species
149065;Rhaphoneis;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Bacillariophycidae;Rhaponeidales;Rhaphoneidaceae;Rhaphoneis;NA;Bacillariophycidae incertae sedis;NA;NA;NA;NA;NA;NA;NA;Genus
149066;Rhaphoneis amphiceros;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Bacillariophycidae;Rhaponeidales;Rhaphoneidaceae;Rhaphoneis;Rhaphoneis amphiceros;Bacillariophycidae incertae sedis;NA;NA;NA;NA;NA;NA;NA;Species
149068;Rhizosoleniaceae;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Rhizosoleniales;Rhizosoleniaceae;NA;NA;Rhizosolenianae;NA;NA;NA;NA;NA;NA;NA;Family
149069;Rhizosolenia;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;Rhizosolenianae;NA;NA;NA;NA;NA;NA;NA;Genus
149070;Rhizosolenia hebetata;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;Rhizosolenia hebetata;Rhizosolenianae;NA;NA;NA;NA;NA;NA;NA;Species
149073;Skeletonema;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Thalassiosirales;Skeletonemaceae;Skeletonema;NA;Thalassiosiranae;NA;NA;NA;NA;NA;NA;NA;Genus
149074;Skeletonema costatum;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Thalassiosirales;Skeletonemaceae;Skeletonema;Skeletonema costatum;Thalassiosiranae;NA;NA;NA;NA;NA;NA;NA;Species
149077;Stauroneis;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Bacillariophycidae;Naviculales;Stauroneidaceae;Stauroneis;NA;Bacillariophycanae;NA;NA;NA;NA;NA;NA;NA;Genus
149084;Surirella;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Bacillariophycidae;Surirellales;Surirellaceae;Surirella;NA;Bacillariophycanae;NA;NA;NA;NA;NA;NA;NA;Genus
149091;Thalassionemataceae;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Fragilariophycidae;Thalassionematales;Thalassionemataceae;NA;NA;Fragilariophycanae;NA;NA;NA;NA;NA;NA;NA;Family
149092;Thalassionema;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Fragilariophycidae;Thalassionematales;Thalassionemataceae;Thalassionema;NA;Fragilariophycanae;NA;NA;NA;NA;NA;NA;NA;Genus
149093;Thalassionema nitzschioides;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Fragilariophycidae;Thalassionematales;Thalassionemataceae;Thalassionema;Thalassionema nitzschioides;Fragilariophycanae;NA;NA;NA;NA;NA;NA;NA;Species
