"RLABO","SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","QFLAG","ALABO","METOA","METFP","SLABO","SMTYP","MPROG","PURPM","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE"
"BAMN","AA31","2005",5291376,46.2684,-1.2421,,"L'Eperon (terre)","20050103",10:47:00,,5291376,,0.25,0.5,0.5,7,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,1000
"BAMN","AA31","2005",5291376,46.2684,-1.2421,,"L'Eperon (terre)","20050103",10:47:00,,5291376,,0.25,0.5,0.5,109479,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,200
"BAMN","AA31","2005",5291376,46.2684,-1.2421,,"L'Eperon (terre)","20050103",10:47:00,,5291376,,0.25,0.5,0.5,148912,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,13400
"BAMN","AA31","2005",5291376,46.2684,-1.2421,,"L'Eperon (terre)","20050103",10:47:00,,5291376,,0.25,0.5,0.5,148952,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,8000
"BAMN","AA31","2005",5291376,46.2684,-1.2421,,"L'Eperon (terre)","20050103",10:47:00,,5291376,,0.25,0.5,0.5,149018,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,200
"BAMN","AA31","2005",5291376,46.2684,-1.2421,,"L'Eperon (terre)","20050103",10:47:00,,5291376,,0.25,0.5,0.5,149031,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,1400
"BAMN","AA31","2005",5291376,46.2684,-1.2421,,"L'Eperon (terre)","20050103",10:47:00,,5291376,,0.25,0.5,0.5,251745,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,800
"BAMN","AA31","2005",5291376,46.2684,-1.2421,,"L'Eperon (terre)","20050103",10:47:00,,5291376,,0.25,0.5,0.5,591199,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,800
"BAMN","AA31","2005",5291424,46.0551,-1.1306,,"Le Cornard","20050104",10:00:00,,5291424,,0.25,0.5,0.5,7,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,1200
"BAMN","AA31","2005",5291424,46.0551,-1.1306,,"Le Cornard","20050104",10:00:00,,5291424,,0.25,0.5,0.5,109410,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,400
"BAMN","AA31","2005",5291424,46.0551,-1.1306,,"Le Cornard","20050104",10:00:00,,5291424,,0.25,0.5,0.5,148912,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,10000
"BAMN","AA31","2005",5291424,46.0551,-1.1306,,"Le Cornard","20050104",10:00:00,,5291424,,0.25,0.5,0.5,148952,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,4000
"BAMN","AA31","2005",5291424,46.0551,-1.1306,,"Le Cornard","20050104",10:00:00,,5291424,,0.25,0.5,0.5,149031,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,400
"BAMN","AA31","2005",5291424,46.0551,-1.1306,,"Le Cornard","20050104",10:00:00,,5291424,,0.25,0.5,0.5,149120,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,200
"BAMN","AA31","2005",5291424,46.0551,-1.1306,,"Le Cornard","20050104",10:00:00,,5291424,,0.25,0.5,0.5,149151,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,200
"BAMN","AA31","2005",5291424,46.0551,-1.1306,,"Le Cornard","20050104",10:00:00,,5291424,,0.25,0.5,0.5,160602,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,200
"BAMN","AA31","2005",5291424,46.0551,-1.1306,,"Le Cornard","20050104",10:00:00,,5291424,,0.25,0.5,0.5,341285,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,200
"BAMN","AA31","2005",5291424,46.0551,-1.1306,,"Le Cornard","20050104",10:00:00,,5291424,,0.25,0.5,0.5,591199,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,600
"BAMN","AA31","2005",5291661,48.1157,-4.2851,,"Kervel","20050105",12:00:00,,5291661,,0.25,0.5,0.5,109410,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,300
"BAMN","AA31","2005",5291661,48.1157,-4.2851,,"Kervel","20050105",12:00:00,,5291661,,0.25,0.5,0.5,109479,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,100
"BAMN","AA31","2005",5291661,48.1157,-4.2851,,"Kervel","20050105",12:00:00,,5291661,,0.25,0.5,0.5,148912,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,400
"BAMN","AA31","2005",5291661,48.1157,-4.2851,,"Kervel","20050105",12:00:00,,5291661,,0.25,0.5,0.5,148914,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,200
"BAMN","AA31","2005",5291661,48.1157,-4.2851,,"Kervel","20050105",12:00:00,,5291661,,0.25,0.5,0.5,149060,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2005","PP","ERID",,,,200
