"RLABO","SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","QFLAG","ALABO","METOA","METFP","SLABO","SMTYP","MPROG","PURPM","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE"
"BAMN","AA31","1987",2695,48.6527,-1.7645,,"Mont St Michel","19870715",16:15:00,,2695,,0.25,0.3,0.3,109394,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2695,48.6527,-1.7645,,"Mont St Michel","19870715",16:15:00,,2695,,0.25,0.3,0.3,109435,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,600
"BAMN","AA31","1987",2695,48.6527,-1.7645,,"Mont St Michel","19870715",16:15:00,,2695,,0.25,0.3,0.3,148985,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,3200
"BAMN","AA31","1987",2695,48.6527,-1.7645,,"Mont St Michel","19870715",16:15:00,,2695,,0.25,0.3,0.3,149038,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,400
"BAMN","AA31","1987",2695,48.6527,-1.7645,,"Mont St Michel","19870715",16:15:00,,2695,,0.25,0.3,0.3,157072,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2695,48.6527,-1.7645,,"Mont St Michel","19870715",16:15:00,,2695,,0.25,0.3,0.3,160602,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2695,48.6527,-1.7645,,"Mont St Michel","19870715",16:15:00,,2695,,0.25,0.3,0.3,624607,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2696,48.6527,-1.7645,,"Mont St Michel","19870707",15:30:00,,2696,,0.25,0.3,0.3,109394,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,800
"BAMN","AA31","1987",2696,48.6527,-1.7645,,"Mont St Michel","19870707",15:30:00,,2696,,0.25,0.3,0.3,109435,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,400
"BAMN","AA31","1987",2696,48.6527,-1.7645,,"Mont St Michel","19870707",15:30:00,,2696,,0.25,0.3,0.3,109876,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2696,48.6527,-1.7645,,"Mont St Michel","19870707",15:30:00,,2696,,0.25,0.3,0.3,148985,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,33800
"BAMN","AA31","1987",2696,48.6527,-1.7645,,"Mont St Michel","19870707",15:30:00,,2696,,0.25,0.3,0.3,149038,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,2200
"BAMN","AA31","1987",2696,48.6527,-1.7645,,"Mont St Michel","19870707",15:30:00,,2696,,0.25,0.3,0.3,233024,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2697,48.6527,-1.7645,,"Mont St Michel","19870810",13:45:00,,2697,,0.25,0.3,0.3,110041,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2697,48.6527,-1.7645,,"Mont St Michel","19870810",13:45:00,,2697,,0.25,0.3,0.3,148989,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2697,48.6527,-1.7645,,"Mont St Michel","19870810",13:45:00,,2697,,0.25,0.3,0.3,149038,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,4400
"BAMN","AA31","1987",2697,48.6527,-1.7645,,"Mont St Michel","19870810",13:45:00,,2697,,0.25,0.3,0.3,149200,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,600
"BAMN","AA31","1987",2697,48.6527,-1.7645,,"Mont St Michel","19870810",13:45:00,,2697,,0.25,0.3,0.3,149309,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2703,48.6432,-2.2437,,"St Cast","19870521",18:00:00,,2703,,0.25,0.3,0.3,109435,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2704,48.8225,-3.0124,,"Bréhat","19870514",11:00:00,,2704,,0.25,0.2,0.2,109485,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2704,48.8225,-3.0124,,"Bréhat","19870514",11:00:00,,2704,,0.25,0.2,0.2,109876,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,300
"BAMN","AA31","1987",2704,48.8225,-3.0124,,"Bréhat","19870514",11:00:00,,2704,,0.25,0.2,0.2,148989,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2704,48.8225,-3.0124,,"Bréhat","19870514",11:00:00,,2704,,0.25,0.2,0.2,149077,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2704,48.8225,-3.0124,,"Bréhat","19870514",11:00:00,,2704,,0.25,0.2,0.2,149176,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2704,48.8225,-3.0124,,"Bréhat","19870514",11:00:00,,2704,,0.25,0.2,0.2,149630,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2705,48.8225,-3.0124,,"Bréhat","19870722",16:50:00,,2705,,0.25,0.3,0.3,109394,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2705,48.8225,-3.0124,,"Bréhat","19870722",16:50:00,,2705,,0.25,0.3,0.3,110217,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2705,48.8225,-3.0124,,"Bréhat","19870722",16:50:00,,2705,,0.25,0.3,0.3,148912,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,500
"BAMN","AA31","1987",2705,48.8225,-3.0124,,"Bréhat","19870722",16:50:00,,2705,,0.25,0.3,0.3,148985,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2705,48.8225,-3.0124,,"Bréhat","19870722",16:50:00,,2705,,0.25,0.3,0.3,148989,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,300
"BAMN","AA31","1987",2705,48.8225,-3.0124,,"Bréhat","19870722",16:50:00,,2705,,0.25,0.3,0.3,149120,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2706,48.8225,-3.0124,,"Bréhat","19870729",11:05:00,,2706,,0.25,0.3,0.3,109394,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2706,48.8225,-3.0124,,"Bréhat","19870729",11:05:00,,2706,,0.25,0.3,0.3,109435,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2706,48.8225,-3.0124,,"Bréhat","19870729",11:05:00,,2706,,0.25,0.3,0.3,149120,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2706,48.8225,-3.0124,,"Bréhat","19870729",11:05:00,,2706,,0.25,0.3,0.3,149309,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,1000
"BAMN","AA31","1987",2707,48.8225,-3.0124,,"Bréhat","19870911",15:05:00,,2707,,0.25,0.3,0.3,149038,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2707,48.8225,-3.0124,,"Bréhat","19870911",15:05:00,,2707,,0.25,0.3,0.3,149077,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2707,48.8225,-3.0124,,"Bréhat","19870911",15:05:00,,2707,,0.25,0.3,0.3,149200,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2707,48.8225,-3.0124,,"Bréhat","19870911",15:05:00,,2707,,0.25,0.3,0.3,149285,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,300
"BAMN","AA31","1987",2708,48.8225,-3.0124,,"Bréhat","19871002",13:30:00,,2708,,0.25,0.3,0.3,109394,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2708,48.8225,-3.0124,,"Bréhat","19871002",13:30:00,,2708,,0.25,0.3,0.3,148989,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,400
"BAMN","AA31","1987",2708,48.8225,-3.0124,,"Bréhat","19871002",13:30:00,,2708,,0.25,0.3,0.3,149176,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2708,48.8225,-3.0124,,"Bréhat","19871002",13:30:00,,2708,,0.25,0.3,0.3,149200,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,400
"BAMN","AA31","1987",2708,48.8225,-3.0124,,"Bréhat","19871002",13:30:00,,2708,,0.25,0.3,0.3,149305,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2710,48.8225,-3.0124,,"Bréhat","19871116",14:00:00,,2710,,0.25,0.3,0.3,148989,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,300
"BAMN","AA31","1987",2751,48.1157,-4.2851,,"Kervel","19870810",08:40:00,,2751,,0.25,0.5,0.5,109876,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2751,48.1157,-4.2851,,"Kervel","19870810",08:40:00,,2751,,0.25,0.5,0.5,110217,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2751,48.1157,-4.2851,,"Kervel","19870810",08:40:00,,2751,,0.25,0.5,0.5,233024,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2777,47.3857,-2.5353,,"Port au Loup","19870609",10:40:00,,2777,,0.25,0.5,0.5,109394,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,8800
"BAMN","AA31","1987",2777,47.3857,-2.5353,,"Port au Loup","19870609",10:40:00,,2777,,0.25,0.5,0.5,109435,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2777,47.3857,-2.5353,,"Port au Loup","19870609",10:40:00,,2777,,0.25,0.5,0.5,109473,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,1600
"BAMN","AA31","1987",2777,47.3857,-2.5353,,"Port au Loup","19870609",10:40:00,,2777,,0.25,0.5,0.5,109518,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,700
"BAMN","AA31","1987",2777,47.3857,-2.5353,,"Port au Loup","19870609",10:40:00,,2777,,0.25,0.5,0.5,109876,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,700
"BAMN","AA31","1987",2777,47.3857,-2.5353,,"Port au Loup","19870609",10:40:00,,2777,,0.25,0.5,0.5,110217,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2777,47.3857,-2.5353,,"Port au Loup","19870609",10:40:00,,2777,,0.25,0.5,0.5,148947,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,1000
"BAMN","AA31","1987",2777,47.3857,-2.5353,,"Port au Loup","19870609",10:40:00,,2777,,0.25,0.5,0.5,840626,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2777,47.3857,-2.5353,,"Port au Loup","19870609",10:40:00,,2777,,0.25,0.5,0.5,840627,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2779,47.3857,-2.5353,,"Port au Loup","19870622",10:30:00,,2779,,0.25,0.5,0.5,109394,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,29400
"BAMN","AA31","1987",2779,47.3857,-2.5353,,"Port au Loup","19870622",10:30:00,,2779,,0.25,0.5,0.5,109435,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2779,47.3857,-2.5353,,"Port au Loup","19870622",10:30:00,,2779,,0.25,0.5,0.5,109473,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2779,47.3857,-2.5353,,"Port au Loup","19870622",10:30:00,,2779,,0.25,0.5,0.5,109876,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2779,47.3857,-2.5353,,"Port au Loup","19870622",10:30:00,,2779,,0.25,0.5,0.5,110217,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,300
"BAMN","AA31","1987",2779,47.3857,-2.5353,,"Port au Loup","19870622",10:30:00,,2779,,0.25,0.5,0.5,233024,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,3700
"BAMN","AA31","1987",2779,47.3857,-2.5353,,"Port au Loup","19870622",10:30:00,,2779,,0.25,0.5,0.5,494056,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2779,47.3857,-2.5353,,"Port au Loup","19870622",10:30:00,,2779,,0.25,0.5,0.5,840626,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2779,47.3857,-2.5353,,"Port au Loup","19870622",10:30:00,,2779,,0.25,0.5,0.5,840627,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2779,47.3857,-2.5353,,"Port au Loup","19870622",10:30:00,,2779,,0.25,0.5,0.5,1346683,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,2500
"BAMN","AA31","1987",2781,47.3857,-2.5353,,"Port au Loup","19870629",15:05:00,,2781,,0.25,0.5,0.5,109394,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,21000
"BAMN","AA31","1987",2781,47.3857,-2.5353,,"Port au Loup","19870629",15:05:00,,2781,,0.25,0.5,0.5,110217,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2781,47.3857,-2.5353,,"Port au Loup","19870629",15:05:00,,2781,,0.25,0.5,0.5,148947,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,500
"BAMN","AA31","1987",2781,47.3857,-2.5353,,"Port au Loup","19870629",15:05:00,,2781,,0.25,0.5,0.5,233024,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,1500
"BAMN","AA31","1987",2781,47.3857,-2.5353,,"Port au Loup","19870629",15:05:00,,2781,,0.25,0.5,0.5,840627,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2781,47.3857,-2.5353,,"Port au Loup","19870629",15:05:00,,2781,,0.25,0.5,0.5,1346683,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,200
"BAMN","AA31","1987",2785,47.3857,-2.5353,,"Port au Loup","19870803",17:05:00,,2785,,0.25,0.5,0.5,109394,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,3600
"BAMN","AA31","1987",2785,47.3857,-2.5353,,"Port au Loup","19870803",17:05:00,,2785,,0.25,0.5,0.5,109473,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,400
"BAMN","AA31","1987",2785,47.3857,-2.5353,,"Port au Loup","19870803",17:05:00,,2785,,0.25,0.5,0.5,148947,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,500
"BAMN","AA31","1987",2785,47.3857,-2.5353,,"Port au Loup","19870803",17:05:00,,2785,,0.25,0.5,0.5,148985,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2785,47.3857,-2.5353,,"Port au Loup","19870803",17:05:00,,2785,,0.25,0.5,0.5,149191,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2785,47.3857,-2.5353,,"Port au Loup","19870803",17:05:00,,2785,,0.25,0.5,0.5,149200,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,600
"BAMN","AA31","1987",2785,47.3857,-2.5353,,"Port au Loup","19870803",17:05:00,,2785,,0.25,0.5,0.5,157072,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2785,47.3857,-2.5353,,"Port au Loup","19870803",17:05:00,,2785,,0.25,0.5,0.5,233024,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,8200
"BAMN","AA31","1987",2790,47.4227,-2.4579,,"Pointe Pen Bé","19870629",14:20:00,,2790,,0.25,0.2,0.2,109394,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,300
"BAMN","AA31","1987",2790,47.4227,-2.4579,,"Pointe Pen Bé","19870629",14:20:00,,2790,,0.25,0.2,0.2,110217,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,100
"BAMN","AA31","1987",2796,47.4227,-2.4579,,"Pointe Pen Bé","19870715",14:25:00,,2796,,0.25,0.2,0.2,109394,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,19600
"BAMN","AA31","1987",2796,47.4227,-2.4579,,"Pointe Pen Bé","19870715",14:25:00,,2796,,0.25,0.2,0.2,109435,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,500
"BAMN","AA31","1987",2796,47.4227,-2.4579,,"Pointe Pen Bé","19870715",14:25:00,,2796,,0.25,0.2,0.2,109473,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1987","PP","ERID",,,,3000
