"RLABO","SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","VFLAG","ALABO","METOA","METFP","SLABO","SMTYP","MPROG","PURPM","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE"
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,1267,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,11.111111111
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,103407,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,114.814814815
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,104251,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,122.222222222
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,104466,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,3.703703704
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,104496,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,25.925925926
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,104515,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,55.555555556
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,104685,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,3.703703704
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,104878,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,222.222222222
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,106386,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,3.703703704
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,106673,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,3.703703704
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,116162,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,3.703703704
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,131495,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,3.703703704
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,146142,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,3.703703704
"BAMN","AA31","1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee","19980317",00:00:00,,"5198718",,,2,5,882,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,393.258426966
"BAMN","AA31","1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee","19980317",00:00:00,,"5198718",,,2,5,913,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,11011.235955056
"BAMN","AA31","1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee","19980317",00:00:00,,"5198718",,,2,5,1082,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,842.696629213
"BAMN","AA31","1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee","19980317",00:00:00,,"5198718",,,2,5,1267,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,33.707865169
"BAMN","AA31","1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee","19980317",00:00:00,,"5198718",,,2,5,10194,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,50.561797753
"BAMN","AA31","1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee","19980317",00:00:00,,"5198718",,,2,5,103407,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,5674.157303371
"BAMN","AA31","1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee","19980317",00:00:00,,"5198718",,,2,5,104251,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,4157.303370787
"BAMN","AA31","1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee","19980317",00:00:00,,"5198718",,,2,5,104466,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,561.797752809
"BAMN","AA31","1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee","19980317",00:00:00,,"5198718",,,2,5,104496,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,1741.573033708
"BAMN","AA31","1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee","19980317",00:00:00,,"5198718",,,2,5,104515,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,2415.730337079
"BAMN","AA31","1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee","19980317",00:00:00,,"5198718",,,2,5,104685,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,2584.269662921
"BAMN","AA31","1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee","19980317",00:00:00,,"5198718",,,2,5,104878,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,9550.561797753
"BAMN","AA31","1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee","19980317",00:00:00,,"5198718",,,2,5,106386,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,22.471910112
"BAMN","AA31","1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee","19980317",00:00:00,,"5198718",,,2,5,106673,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,67.415730337
"BAMN","AA31","1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee","19980317",00:00:00,,"5198718",,,2,5,120072,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,5.617977528
"BAMN","AA31","1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee","19980317",00:00:00,,"5198718",,,2,5,131495,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,786.516853933
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,101,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,8.71459695
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,105,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,10.893246187
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,882,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,69.716775599
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,913,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,34.8583878
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,1082,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,8.71459695
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,1101,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,6.535947712
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,1135,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,4.357298475
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,1267,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,4.357298475
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,10194,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,3.267973856
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,103407,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,91.503267974
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,104251,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,135.076252723
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,104466,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,4.357298475
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,104496,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,17.4291939
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,104515,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,34.8583878
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,104685,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,4.357298475
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,104878,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,281.045751634
