"SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","QFLAG","RLABO","ALABO","METOA","METFP","SLABO","SMTYP","MPROG","PURPM","CNTRY","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE"
"ZZ99","2001","RA011218",48.732,-3.968,NA,"Astan","20011218",NA,NA,"RA011218",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,230.769230769231
"ZZ99","2001","RA011218",48.732,-3.968,NA,"Astan","20011218",NA,NA,"RA011218",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,3705.12820512821
"ZZ99","2002","RA020108",48.732,-3.968,NA,"Astan","20020108",NA,NA,"RA020108",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,123.142250530786
"ZZ99","2002","RA020108",48.732,-3.968,NA,"Astan","20020108",NA,NA,"RA020108",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,3859.87261146497
"ZZ99","2002","RA020122",48.732,-3.968,NA,"Astan","20020122",NA,NA,"RA020122",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,194.704049844237
"ZZ99","2002","RA020122",48.732,-3.968,NA,"Astan","20020122",NA,NA,"RA020122",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,1390.18691588785
"ZZ99","2002","RA020201",48.732,-3.968,NA,"Astan","20020201",NA,NA,"RA020201",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,243.589743589744
"ZZ99","2002","RA020201",48.732,-3.968,NA,"Astan","20020201",NA,NA,"RA020201",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,2726.49572649573
"ZZ99","2002","RA020207",48.732,-3.968,NA,"Astan","20020207",NA,NA,"RA020207",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,243.589743589744
"ZZ99","2002","RA020207",48.732,-3.968,NA,"Astan","20020207",NA,NA,"RA020207",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,2405.98290598291
"ZZ99","2002","RA020307",48.732,-3.968,NA,"Astan","20020307",NA,NA,"RA020307",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,124.610591900312
"ZZ99","2002","RA020307",48.732,-3.968,NA,"Astan","20020307",NA,NA,"RA020307",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,2063.86292834891
"ZZ99","2002","RA020322",48.732,-3.968,NA,"Astan","20020322",NA,NA,"RA020322",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,210.280373831776
"ZZ99","2002","RA020322",48.732,-3.968,NA,"Astan","20020322",NA,NA,"RA020322",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,2313.08411214953
"ZZ99","2002","RA020405",48.732,-3.968,NA,"Astan","20020405",NA,NA,"RA020405",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,276.479750778816
"ZZ99","2002","RA020405",48.732,-3.968,NA,"Astan","20020405",NA,NA,"RA020405",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,3224.29906542056
"ZZ99","2002","RA020506",48.732,-3.968,NA,"Astan","20020506",NA,NA,"RA020506",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,389.408099688474
"ZZ99","2002","RA020506",48.732,-3.968,NA,"Astan","20020506",NA,NA,"RA020506",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,1234.42367601246
"ZZ99","2002","RA020523",48.732,-3.968,NA,"Astan","20020523",NA,NA,"RA020523",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,198.598130841122
"ZZ99","2002","RA020523",48.732,-3.968,NA,"Astan","20020523",NA,NA,"RA020523",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,669.781931464175
"ZZ99","2002","RA020603",48.732,-3.968,NA,"Astan","20020603",NA,NA,"RA020603",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,319.314641744548
"ZZ99","2002","RA020603",48.732,-3.968,NA,"Astan","20020603",NA,NA,"RA020603",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,1051.40186915888
"ZZ99","2002","RA020618",48.732,-3.968,NA,"Astan","20020618",NA,NA,"RA020618",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,218.068535825545
"ZZ99","2002","RA020618",48.732,-3.968,NA,"Astan","20020618",NA,NA,"RA020618",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,1378.5046728972
"ZZ99","2002","RA020704",48.732,-3.968,NA,"Astan","20020704",NA,NA,"RA020704",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,140.18691588785
"ZZ99","2002","RA020704",48.732,-3.968,NA,"Astan","20020704",NA,NA,"RA020704",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,2355.91900311527
"ZZ99","2002","RA020719",48.732,-3.968,NA,"Astan","20020719",NA,NA,"RA020719",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,288.16199376947
"ZZ99","2002","RA020719",48.732,-3.968,NA,"Astan","20020719",NA,NA,"RA020719",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,3056.85358255452
"ZZ99","2002","RA020801",48.732,-3.968,NA,"Astan","20020801",NA,NA,"RA020801",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,118.895966029724
"ZZ99","2002","RA020801",48.732,-3.968,NA,"Astan","20020801",NA,NA,"RA020801",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,1685.77494692144
"ZZ99","2002","RA020819",48.732,-3.968,NA,"Astan","20020819",NA,NA,"RA020819",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,246.284501061571
"ZZ99","2002","RA020819",48.732,-3.968,NA,"Astan","20020819",NA,NA,"RA020819",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,3723.991507431
"ZZ99","2002","RA020902",48.732,-3.968,NA,"Astan","20020902",NA,NA,"RA020902",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,237.791932059448
"ZZ99","2002","RA020902",48.732,-3.968,NA,"Astan","20020902",NA,NA,"RA020902",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,6760.08492569002
"ZZ99","2002","RA020916",48.732,-3.968,NA,"Astan","20020916",NA,NA,"RA020916",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,186.836518046709
"ZZ99","2002","RA020916",48.732,-3.968,NA,"Astan","20020916",NA,NA,"RA020916",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,8097.66454352442
"ZZ99","2002","RA020917",48.732,-3.968,NA,"Astan","20020917",NA,NA,"RA020917",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,259.023354564756
"ZZ99","2002","RA020917",48.732,-3.968,NA,"Astan","20020917",NA,NA,"RA020917",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,7452.22929936306
"ZZ99","2002","RA021004",48.732,-3.968,NA,"Astan","20021004",NA,NA,"RA021004",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,165.605095541401
"ZZ99","2002","RA021004",48.732,-3.968,NA,"Astan","20021004",NA,NA,"RA021004",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,4772.82377919321
"ZZ99","2002","RA021014",48.732,-3.968,NA,"Astan","20021014",NA,NA,"RA021014",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,123.142250530786
"ZZ99","2002","RA021014",48.732,-3.968,NA,"Astan","20021014",NA,NA,"RA021014",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,4479.83014861996
"ZZ99","2002","RA021030",48.732,-3.968,NA,"Astan","20021030",NA,NA,"RA021030",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,250.530785562633
"ZZ99","2002","RA021030",48.732,-3.968,NA,"Astan","20021030",NA,NA,"RA021030",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,5286.62420382166
"ZZ99","2002","RA021202",48.732,-3.968,NA,"Astan","20021202",NA,NA,"RA021202",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,230.769230769231
"ZZ99","2002","RA021202",48.732,-3.968,NA,"Astan","20021202",NA,NA,"RA021202",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,3034.18803418803
"ZZ99","2003","RA030423",48.732,-3.968,NA,"Astan","20030423",NA,NA,"RA030423",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2003","PP","ERID",NA,NA,NA,162.878787878788
"ZZ99","2003","RA030423",48.732,-3.968,NA,"Astan","20030423",NA,NA,"RA030423",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2003","PP","ERID",NA,NA,NA,4992.42424242424
"ZZ99","2003","RA030505",48.732,-3.968,NA,"Astan","20030505",NA,NA,"RA030505",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2003","PP","ERID",NA,NA,NA,109.848484848485
"ZZ99","2003","RA030505",48.732,-3.968,NA,"Astan","20030505",NA,NA,"RA030505",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2003","PP","ERID",NA,NA,NA,1537.87878787879
"ZZ99","2003","RA030521",48.732,-3.968,NA,"Astan","20030521",NA,NA,"RA030521",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2003","PP","ERID",NA,NA,NA,60.6060606060606
"ZZ99","2003","RA030521",48.732,-3.968,NA,"Astan","20030521",NA,NA,"RA030521",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2003","PP","ERID",NA,NA,NA,435.606060606061
"ZZ99","2003","RA030610",48.732,-3.968,NA,"Astan","20030610",NA,NA,"RA030610",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2003","PP","ERID",NA,NA,NA,196.969696969697
"ZZ99","2003","RA030610",48.732,-3.968,NA,"Astan","20030610",NA,NA,"RA030610",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2003","PP","ERID",NA,NA,NA,958.333333333333
